clade_name	ACC0147	ACC0163	ACC0048	ACC0102	ACC0034	ACC0138	ACC0096	ACC0049	MiRES012	ACC0080	ACC0032	ACC0108	ACC0097	MiRES005	ACC0265	ACC0110	ACC0192	ACC0013	ACC0114	ACC0136	MiRES011	ACC0169	MiRES003	ACC0135	ACC0066	MiRES009	MiREL020	MIRES007	ACC0009	ACC0031	MiRES004
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	0.47826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0226	0.0	0.0	0.11084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90961
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.3966	0.77378	1.95625	0.01072	0.33023	0.3291	0.05827	0.33372	1.16349	0.35757	1.20425	0.18316	0.06981	0.0	0.0	0.04879	0.0	0.37585	0.1342	0.00019	0.0	0.0	0.51007	0.0	0.0	0.07241	0.43239	1.21022	0.0	1.13229	0.61773
k__Bacteria|p__Firmicutes|c__CFGB1213|o__OFGB1213	0.23547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0268
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	0.17307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01064	0.00165	0.0	0.0	0.10867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02065	0.0	0.0	0.0	0.0	0.05573
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.16678	0.27831	3.04946	21.23813	29.0556	0.0002	12.56456	0.00778	0.35046	3.37355	3.2352	0.02089	12.46642	0.47371	1.21018	0.21854	40.02962	0.06369	0.10848	0.03888	2.43727	4.29772	2.14673	24.57048	0.71562	0.2724	3.07991	0.93609	1.85961	1.1729	1.37199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.15561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.14243	0.03373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01666	0.0	0.00625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51106
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	0.10945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.08304	0.05878	0.0	0.0	0.01017	0.0	0.0	0.0	7.20234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.07955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.20564	0.0	0.10253	0.0	0.0	0.27243	0.0	0.00597	0.06622	0.0	0.0	0.0	0.02596	0.0	0.0	0.21577	0.0	0.26051	0.0	0.0	0.50527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.0667	0.30142	0.0	0.0	0.00029	0.14564	0.0	0.18176	0.36811	0.18942	0.0	1.58096	0.01078	0.01379	0.24522	0.24916	0.0	0.0	0.0041	0.24591	0.0	0.0	0.02145	0.0	0.0	0.06633	0.03975	0.02974	0.07289	0.02325	0.21037
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	0.06343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983	0.05947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.05406	0.21858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071	0.04647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984	0.0427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3043|o__OFGB3043	0.04153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB59744|o__OFGB59744	0.03423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
